EXPE ID,YR ID
108134846,78575
108134846,78595
108134846,78597
108134846,78598
108134846,78599
108134846,79640
108134846,78803
108134846,78805
108134846,78807
108134846,78809
108134846,80813
108134846,78804
108134846,78806
108134846,78808
107552723,82955
107491910,82956
107553358,82958
108263404,84726
108263404,84728
108263404,84931
108263404,84972
108263404,84973
108263404,85312
108263404,84720
108263404,84721
108263404,84722
108263404,84723
108263404,85310
108264008,87301
108264008,87302
108264008,87180
108264008,87182
108264008,87184
108264888,87941
108264888,87942
108264888,87943
108264888,87944
108264888,87935
108264888,87934
108264888,87940
108264888,87936
108264888,87938
108264888,87937
108264888,87939
107172814,93295
108070025,96063
103102565,100299
103102624,100307
103102712,100310
104371850,103047
108070374,103229
108070140,103230
104815567,103340
107462005,103876
107146036,105059
107915156,105303
107915249,105312
107915157,105314
107915301,105315
107915317,105318
107915266,105322
107915300,105323
107915265,105325
107915257,105326
107215194,105666
107998908,105792
107617116,106107
107915269,106296
106831755,106396
107040314,106406
106897732,106440
107975699,106750
107814674,106845
107599987,107055
107897901,107066
107481175,107106
107488460,107114
107489008,107116
107826662,107130
107906167,107132
107826663,107136
107532659,107138
107547857,107146
108040370,107147
107981899,107170
107570369,107171
107601360,107176
107590191,107183
107601455,107199
107601513,107200
107608813,107217
108004089,107227
107972241,107231
107743537,107252
107689997,107255
107630068,107258
107745527,107266
107755940,107274
107719023,107295
107728754,107302
108195969,107303
107997787,107314
107753932,107315
107755480,107316
107908704,107319
107826074,107332
107854139,107333
107824919,107337
107849860,107341
107906106,107357
107863048,107365
107897984,107388
107976466,107393
107915596,107397
107904626,107409
107998549,107435
107961385,107443
108194010,107445
107953405,107456
107953710,107458
107954032,107459
107961388,107462
107978565,107510
107978655,107511
107987725,107518
107988492,107519
107988736,107521
108008305,107544
108048987,107581
108134501,107584
108259975,107591
108086245,107594
108102535,107596
108202559,107610
108202558,107611
108202564,107614
108195593,107625
91015164,77652
91015164,77655
91015164,77675
91015164,77679
91015164,77763
91015164,77765
91015164,77766
91015164,77764
91015164,77767
91015164,77768
91015164,77769
108138967,81079
108138967,84323
108138967,81984
108138967,84324
108138967,90215
108138967,82022
108138967,82032
108138967,82030
108138967,82035
108138967,82026
108138967,82031
108138967,82027
108138967,82033
108138967,82029
108138967,82034
